Alert,Risk Level,CWE ID,URL,Alert_encoded,Risk_encoded
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/runtime.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/styles.css,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/vendor.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/sitemap.xml,0,4
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/assets/public/favicon_js.ico,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/acquisitions.md,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/announcement_encrypted.md,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/coupons_2013.md.bak,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/eastere.gg,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/encrypt.pyc,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/incident-support.kdbx,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/legal.md,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/package.json.bak,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_linux_amd_64.url,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_linux_arm_64.url,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_macos_64.url,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_windows_64.exe.url,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/suspicious_errors.yml,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/assets/public/favicon_js.ico,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/favicon_js.ico,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/main.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/polyfills.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/runtime.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/styles.css,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/vendor.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/fileServer.js:43:13,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/fileServer.js:59:18,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/main.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/polyfills.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/runtime.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/styles.css,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/vendor.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/assets/public/favicon_js.ico,2,6
